F5_is_below_18cm
406-12
177-9
407-11
173-17
29-7
448-18
305-1
310-13
310-11
451-13
8-18
308-18
406-4
180-7
184-17
346-19
172-9
168-6
168-2
173-18
177-12
428-9
308-5
308-13
169-11
180-3
308-12
120-5
308-15
159-4
24-4
173-19
305-3
471-2
409-16
491-17
165-5
310-9
384-17
184-14
180-11
24-3
405-18
172-4
191-1
172-14
159-11
173-9
406-11
310-6
308-16
168-14
27-4
172-5
191-2
27-9
180-5
159-16
468-17
191-3
347-12
177-18
45-20
310-14
310-7
172-15
468-12
182-3
407-1
187-4
406-6
347-16
177-16
282-4
8-6
180-4
114-4
495-2
161-1
94-4
167-1
19-2
180-1
344-1
184-15
7-12
173-16
184-12
168-18
308-2
305-2
159-17
346-11
159-12
347-2
182-2
182-4
159-8
308-7
191-8
308-9
180-10
7-3
184-20
182-1
27-13
264-8
159-10
177-10
454-2
308-11
7-1
120-2
161-2
187-6
177-4
310-11
264-2
448-11
7-10
7-20
7-18
7-19
7-16
7-15
7-13
8-2
8-10
8-8
8-3
8-16
8-11
11-1
14-1
16-1
24-2
24-12
24-19
24-20
24-13
24-10
24-17
24-14
24-5
27-18
27-7
27-17
27-3
27-10
27-20
35-14
45-15
45-8
45-19
47-15
49-20
96-1
113-2
113-11
119-1
122-20
159-3
159-2
159-9
159-7
159-1
159-15
160-1
163-1
165-10
165-2
165-6
165-14
166-2
166-1
166-3
168-16
168-3
168-8
168-18
168-12
169-20
169-1
169-19
169-9
169-14
169-10
169-2
169-15
171-1
172-13
172-1
173-20
173-4
173-1
173-14
173-11
173-10
173-15
173-5
174-1
176-1
176-3
177-8
177-1
177-20
177-14
181-1
183-6
183-8
183-1
184-10
184-19
184-13
184-5
184-9
184-7
189-1
196-1
196-2
183-5
183-12
183-2
183-20
183-18
201-1
205-4
263-5
263-16
264-5
265-4
267-5
282-14
282-15
282-3
307-1
308-17
308-1
310-8
310-16
310-15
310-18
310-17
310-5
310-10
310-3
310-2
310-20
310-21
310-4
310-12
315-2
315-1
342-4
344-17
344-7
345-16
346-9
347-7
347-15
347-5
347-10
348-8
348-7
375-3
384-4
384-16
405-12
405-16
406-2
406-8
406-16
406-3
407-3
407-20
407-6
426-1
477-4
479-19
