ID,Leaf_shape,Leaf_edge,n_shoot_axis,Tray,Row,Column,Comments
480-7,Na,Na,4,4,5,6,
480-6,Na,Na,4,4,6,1,
484-9,Na,Na,5,4,6,2,
484-10,O,G,5,4,6,3,
484-11,Na,Na,4,4,6,4,
484-12,O,G,5,4,6,5,
484-13,O,G,4,4,6,6,
484-3,Na,Na,4,4,7,1,
484-4,Na,Na,5,4,7,2,
484-5,Na,Na,3,4,7,3,
484-6,Na,Na,6,4,7,4,
483-17,O,G,5,4,7,5,
484-7,O,S,3,4,7,6,
483-18,O,G,3,4,8,1,
483-19,L,Na,3,4,8,2,
483-20,O,G,3,4,8,3,
484-1,Na,Na,Na,4,8,4,Not thaliana
484-2,Na,Na,6,4,8,5,
483-12,O,G,2,4,8,6,
483-13,L,G,4,5,1,1,
483-14,L,G,2,5,1,2,
483-15,Na,Na,4,5,1,3,
483-16,Na,Na,2,5,1,4,
483-6,Na,Na,4,5,1,5,
483-7,Na,Na,2,5,1,6,
483-8,O,S,6,5,2,1,
483-9,O,G,6,5,2,2,
483-10,Na,Na,4,5,2,3,
483-11,Na,Na,2,5,2,4,
483-1,O,G,6,5,2,5,
483-2,Na,Na,4,5,2,6,
483-3,L,G,5,5,3,1,
483-4,O,G,3,5,3,2,
483-5,O,S,6,5,3,3,
482-13,L,S,5,5,3,4,
482-14,O,S,5,5,3,5,
482-15,Na,Na,5,5,3,6,
428-7,O,G,3,5,4,1,
428-8,O,G,3,5,4,2,
428-17,O,G,1,5,4,3,
428-9,O,S,4,5,4,4,
428-10,O,G,4,5,4,5,
428-11,O,G,4,5,4,6,
428-12,L,G,5,5,5,1,
428-2,L,G,4,5,5,2,
428-3,O,G,2,5,5,3,
428-4,Na,Na,4,5,5,4,
428-5,L,G,3,5,5,5,
428-6,O,G,6,5,5,6,
424-3,O,G,5,5,6,1,
424-4,O,G,5,5,6,2,
426-1,Na,Na,1,5,6,3,Super small
427-1,Na,G,4,5,6,4,
427-2,Na,Na,4,5,6,5,
486-19,O,G,3,5,6,6,
428-1,L,G,5,5,7,1,
486-17,O,G,3,5,7,2,
486-18,O,G,3,5,7,3,
424-1,O,G,3,5,7,4,
486-11,Na,Na,1,5,7,5,
424-2,Na,Na,4,5,7,6,
486-13,L,Na,5,5,8,1,
486-14,L,G,3,5,8,2,
486-15,Na,G,5,5,8,3,
486-12,Na,Na,4,5,8,4,
486-16,Na,Na,1,5,8,5,Might not produce silique
486-6,O,G,4,5,8,6,
486-7,Na,Na,1,6,1,1,
486-8,Na,Na,5,6,1,2,
486-9,O,G,2,6,1,3,
486-10,O,G,2,6,1,4,
485-3,Na,Na,4,6,1,5,
477-9,O,G,4,6,1,6,
477-1,Na,Na,5,6,2,1,
477-2,Na,Na,5,6,2,2,
477-3,Na,Na,5,6,2,3,
475-6,Na,Na,Na,6,2,4,
476-1,L,G,5,6,2,5,
476-2,O,G,4,6,2,6,
476-3,L,Na,2,6,3,1,
476-4,Na,Na,3,6,3,2,
476-5,Na,G,4,6,3,3,
475-1,Na,Na,5,6,3,4,
475-2,Na,Na,1,6,3,5,
475-3,Na,Na,Na,6,3,6,Different species
475-4,Na,Na,4,6,4,1,
475-5,Na,Na,2,6,4,2,
474-15,O,G,5,6,4,3,
474-16,O,G,5,6,4,4,
474-17,O,G,8,6,4,5,
474-18,O,G,5,6,4,6,
474-19,O,G,5,6,5,1,
474-20,O,G,3,6,5,2,
474-12,Na,Na,3,6,5,3,
474-13,Na,Na,6,6,5,4,
474-14,O,G,4,6,5,5,
474-10,Na,Na,1,6,5,6,
474-5,Na,Na,6,6,6,1,
474-6,Na,Na,4,6,6,2,
474-7,Na,Na,5,6,6,3,
474-8,O,G,6,6,6,4,
472-19,O,G,4,6,6,5,
472-20,O,G,4,6,6,6,
474-1,O,G,7,6,7,1,
474-2,O,G,5,6,7,2,
474-3,L,G,5,6,7,3,
474-9,Na,G,5,6,7,4,
489-9,Na,Na,5,6,7,5,
479-10,Na,Na,1,6,7,6,
439-6,O,G,2,6,8,1,
439-7,O,G,4,6,8,2,
439-8,O,G,4,6,8,3,
438-13,O,G,5,6,8,4,
438-14,Na,Na,4,6,8,5,
479-11,Na,Na,3,6,8,6,
478-12,O,G,4,7,1,1,
478-13,O,G,6,7,1,2,
479-1,L,Na,3,7,1,3,
479-2,O,G,4,7,1,4,
