Site_ID,Area,Localization_ID,Type,Destroyed,Outliers_soil,Sowing_1st,Sowing_2nd,Germ_2ndyear,Presence_April_22,Presence_April_23,Presence_April_24,Persistence_1,Persistence_2,Feb_22,April_22,October_22,November_22,April_23,FT-04-23,Cohort,First_FT_julianday,100_FT_julianday,FT_variation,harvested_leaves,harvested_seeds,FT_10-2023,EndMarch_24
258,Sülz 1,29,wall,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,30,38,90,142,58,57,autumn,71,97,27,09/04/23,26/05/23,0,28
259,Sülz 1,145,wall,Exist,Not sampled,09/2021,no,No,Yes,Yes,No,2,2,15,12,2,1,1,1,autumn,97,97,1,09/04/23,,0,0
260,Sülz 1,145,wall,Exist,Not sampled,09/2021,no,No,Yes,Yes,No,2,2,15,12,1,1,2,1,spring,97,119,23,09/04/23,,0,0
261,Sülz 1,145,wall,Exist,Not sampled,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
262,Sülz 2,146,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
263,Sülz 2,146,Tree bed,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,25,14,4,6,0,0,autumn,79,97,19,08/04/23,,0,28
264,Sülz 2,146,Tree bed,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,25,4,14,18,5,5,autumn,89,97,9,08/04/23,,0,8
265,Sülz 2,146,Tree bed,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,25,28,55,92,64,62,spring,59,119,61,08/04/23,30/05/23 1 too late,0,248
266,Sülz 2,146,Tree bed,Exist,,09/2021,no,No,Yes,No,No,1,1,1,1,0,0,0,0,autumn,NA,NA,NA,08/04/23,,0,0
267,Sülz 2,146,Tree bed,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,100,31,13,14,10,10,autumn,81,97,17,08/04/23,,0,234
268,Sülz 2,146,Tree bed,Exist,,09/2021,no,No,Yes,No,No,1,1,15,2,0,0,0,0,autumn,NA,NA,NA,08/04/23,,0,0
269,Sülz 2,146,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
270,Sülz 2,146,Tree bed,Exist,,09/2021,no,No,Yes,No,No,1,1,2,1,0,0,0,0,autumn,NA,NA,NA,08/04/23,,0,0
271,Sülz 2,146,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,08/04/23,,0,0
272,Sülz 2,33,grass,02/2022,,09/2021,no,No,Yes,NA,NA,1,1,20,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
273,Sülz 2,34.1,wall,Exist,Not sampled,09/2021,no,No,Yes,Yes,No,2,2,10,4,0,0,5,0,spring,119,119,1,08/04/23,,0,0
274,Sülz 2,34.1,wall,Exist,Not sampled,09/2021,no,No,Yes,No,No,1,1,2,0,0,0,0,0,autumn,NA,NA,NA,08/04/23,,0,0
275,Sülz 2,37,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
276,Sülz 2,37,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
277,Sülz 2,37,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
278,Sülz 2,38,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
279,Sülz 2,41,pavement,Exist,,09/2021,no,No,Yes,Yes,No,2,2,5,1,0,0,1,0,spring,119,119,1,08/04/23,,0,0
280,Sülz 2,41,pavement,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,1,0,0,0,1,1,spring,97,97,1,08/04/23,,0,7
281,Sülz 2,41,pavement,Exist,,09/2021,no,No,Yes,No,No,1,1,5,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
282,Sülz 2,41,pavement,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,5,4,5,4,4,2,autumn,89,119,31,08/04/23,30/05/23 1 too late,0,24
283,Sülz 2,41,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,15,5,2,2,1,0,autumn,119,119,1,08/04/23,30/05/23 1 too late,0,1
284,Sülz 2,35,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
285,Sülz 2,35,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
286,Sülz 2,35,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
287,Sülz 2,35,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
288,Sülz 2,35,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
289,Sülz 2,35,Tree bed,Exist,Wrong number,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
290,Sülz 2,35,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
291,Sülz 2,35,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
292,Sülz 2,35,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
293,Sülz 2,35,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
294,Sülz 2,35,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
295,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
296,Sülz 2,60,Tree bed,Exist,Not sampled,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
297,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,No,No,Yes,1,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,13
298,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,No,No,Yes,1,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,2
299,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
300,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
301,Sülz 2,60,Tree bed,Exist,,09/2021,07/2022,No,No,Yes,Yes,2,NA,0,0,16,14,20,17,spring,82,119,38,08/04/23,30/05/23,0,37
302,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
303,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
304,Sülz 2,60,Tree bed,Exist,,09/2021,07/2022,No,No,Yes,Yes,2,NA,0,0,0,0,5,0,spring,119,119,1,08/04/23,,0,6
305,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,No,No,Yes,1,NA,0,0,2,0,0,0,autumn,NA,NA,NA,08/04/23,,0,2
306,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
307,Sülz 2,60,Tree bed,Exist,,09/2021,07/2022,No,Yes,Yes,Yes,3,3,0,1,11,11,11,9,autumn,90,119,30,08/04/23,Too early,0,3
308,Sülz 2,60,Tree bed,Exist,,09/2021,07/2022,No,No,Yes,Yes,2,NA,0,0,0,0,2,0,spring,119,119,1,08/04/23,,0,52
309,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
310,Sülz 2,60,Tree bed,Exist,Not sampled,09/2021,07/2022,Yes,No,No,Yes,1,NA,0,0,1,0,0,0,autumn,NA,NA,NA,08/04/23,,0,7
311,Sülz 2,60,Tree bed,Exist,,09/2021,07/2022,No,Yes,Yes,Yes,3,3,0,1,2,1,7,4,spring,90,119,30,08/04/23,Not found ,0,4
312,Sülz 2,60,Tree bed,Exist,Not sampled,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
313,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
314,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,Yes,No,Yes,3,3,0,1,0,0,0,0,autumn,NA,NA,NA,,,0,1
315,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,0,10,8,12,51,49,spring,79,97,19,08/04/23,30/05/23,0,4
316,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,Yes,Yes,No,2,2,2,11,7,7,28,28,spring,79,97,19,08/04/23,30/05/23,0,0
317,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
318,Sülz 2,60,Tree bed,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
319,Sülz 2,42-45,pavement,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,50,6,11,18,15,6,spring,79,119,41,08/04/23,30/05/23,0,3
320,Sülz 2,42-45,pavement,Exist,,09/2021,no,No,Yes,Yes,No,2,2,3,3,3,4,2,0,autumn,90,119,30,08/04/23,,0,0
321,Sülz 2,42-45,pavement,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
322,Sülz 2,42-45,pavement,Exist,,09/2021,no,No,No,No,Yes,1,NA,0,0,3,0,0,0,autumn,NA,NA,NA,,,0,52
323,Sülz 2,46,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
324,Sülz 2,46,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
325,Sülz 2,46,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
326,Sülz 2,46,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
327,Sülz 2,46,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
328,Sülz 2,50,pavement,Exist,,09/2021,no,No,Yes,No,No,1,1,0,1,0,0,0,0,autumn,NA,NA,NA,,,0,0
329,Sülz 2,50,pavement,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
330,Sülz 2,51,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
331,Sülz 2,52,pavement,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
332,Sülz 2,52,pavement,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
333,Sülz 2,52,pavement,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
334,Sülz 2,53,grass,02/2022,Not sampled,09/2021,no,No,No,NA,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
335,Sülz 2,54,grass,Exist,,09/2021,no,No,Yes,No,No,1,1,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
336,Sülz 2,54,grass,Exist,,09/2021,no,No,Yes,No,No,1,1,0,0,2,0,0,0,autumn,NA,NA,NA,,,0,0
337,Sülz 2,54,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
338,Sülz 2,54,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
339,Sülz 2,54,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
340,Sülz 2,54,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
341,Maarweg,166,pavement,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
342,Maarweg,169,pavement,Exist,Wrong number,09/2021,no,No,Yes,No,Yes,3,3,50,49,2,2,0,0,autumn,NA,NA,NA,destroyed ,,0,1
343,Maarweg,169,pavement,Exist,Not sampled,09/2021,no,No,Yes,No,Yes,3,3,3,7,0,0,0,0,autumn,NA,NA,NA,,,0,2
344,Maarweg,168,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,2,4,13,9,117,116,spring,74,94,21,04/04/23,Too Late ,0,7
345,Maarweg,168,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,10,17,0,60,197,196,spring,80,94,15,04/04/23,28/05/23 Few  ,0,183
346,Maarweg,168,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,15,22,1,18,99,99,spring,80,89,10,04/04/23,28/05/23 Few  ,0,106
347,Maarweg,168,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,15,70,0,18,190,186,spring,80,119,40,04/04/23,28/05/23 Few  ,0,127
348,Maarweg,168,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,15,35,22,14,37,37,spring,80,94,15,04/04/23,,0,122
349,Maarweg,170,grass,02/2022,Not sampled,09/2021,no,No,No,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
350,Maarweg,170,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
351,Maarweg,170,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
352,Maarweg,170,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
353,Maarweg,171,wall,Exist,,09/2021,no,No,No,Yes,Yes,2,NA,0,0,0,0,2,1,spring,82,119,38,05/04/23,,0,8
354,Maarweg,171,wall,Exist,,09/2021,no,No,No,No,Yes,1,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,3
355,Maarweg,171,wall,Exist,,09/2021,no,No,No,No,No,0,NA,0,1,0,0,0,0,autumn,NA,NA,NA,0,,0,0
356,Maarweg,171,wall,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
357,Maarweg,171,wall,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,0,2,9,11,15,13,spring,80,119,40,05/04/23,28/05/23,11,14
358,Maarweg,172,grass,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,10,27,3,5,24,19,spring,80,119,40,05/04/23,Too early,0,7
359,Maarweg,172,grass,Exist,,09/2021,no,No,No,Yes,Yes,2,NA,0,0,0,0,41,37,spring,74,119,46,05/04/23,Too early,0,1
360,Maarweg,172,grass,Exist,,09/2021,no,No,No,Yes,Yes,2,NA,0,0,0,0,4,4,spring,82,94,13,05/04/23,,0,3
361,Maarweg,172,grass,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,1,3,0,0,7,5,spring,80,119,40,05/04/23,02/06/23,0,1
362,Maarweg,172,grass,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,10,7,0,0,17,16,spring,82,94,13,05/04/23,,0,1
363,Maarweg,172,grass,Exist,,09/2021,no,No,No,Yes,No,1,NA,0,0,0,0,1,1,spring,94,94,1,05/04/23,,0,0
364,Maarweg,173,grass,04/2024,,09/2021,no,No,Yes,Yes,NA,2,2,0,11,10,7,18,17,NA,80,94,15,05/04/23,,NA,NA
365,Maarweg,173,grass,04/2024,,09/2021,no,No,No,No,NA,0,NA,0,2,0,0,0,0,NA,NA,NA,NA,,,NA,NA
366,Maarweg,173,grass,02/2022,Not sampled,09/2021,no,No,No,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
367,Maarweg,173,grass,02/2022,Not sampled,09/2021,no,No,No,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
368,Maarweg,173,grass,02/2022,Not sampled,09/2021,no,No,No,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
369,Maarweg,174,grass,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,5,16,13,28,25,24,spring,80,82,3,05/04/23,28/05/23 1 rest mold,0,21
370,Maarweg,174,grass,Exist,Not sampled,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
371,Maarweg,175,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,15,22,32,101,32,32,autumn,74,82,9,05/04/23,Too early,0,115
372,Maarweg,175,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,2,3,2,2,2,2,autumn,80,82,3,05/04/23,,0,1
373,Maarweg,176,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,1,0,60,71,3,3,autumn,82,94,13,05/04/23,,0,2
374,Maarweg,176,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,5,4,3,5,2,2,autumn,80,82,3,05/04/23,,0,6
375,Maarweg,177,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,No,2,2,5,19,12,14,14,14,spring,80,94,15,05/04/23,,0,0
376,Maarweg,177,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,5,16,3,2,2,1,autumn,89,119,31,05/04/23,,0,1
377,Maarweg,177,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,No,2,2,5,8,0,3,6,5,spring,80,94,15,05/04/23,,0,0
378,Maarweg,177,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,No,2,2,5,15,9,7,20,18,spring,80,119,40,05/04/23,Too late,0,0
379,Maarweg,177,pavement,Exist,Not sampled,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
380,Maarweg,178,grass,09/2022,,09/2021,no,No,No,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
381,Maarweg,178,grass,09/2022,,09/2021,no,No,Yes,NA,NA,1,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
382,Maarweg,178,grass,09/2022,,09/2021,no,No,No,NA,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
383,Maarweg,179,grass,Exist,,09/2021,no,No,No,Yes,Yes,2,NA,0,0,0,0,3,2,spring,80,94,15,05/04/23,,0,2
384,Maarweg,179,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,destroyed,,0,0
385,Maarweg,180,Tree bed,10/2022,Not sampled,09/2021,no,No,No,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
386,Maarweg,180,Tree bed,Exist,Not sampled,09/2021,no,No,Yes,No,No,1,1,0,0,NA,NA,0,0,autumn,NA,NA,NA,,,0,0
387,Maarweg,180,Tree bed,Exist,Not sampled,09/2021,no,No,No,No,No,0,NA,0,2,NA,NA,0,0,autumn,NA,NA,NA,,,1,0
388,Maarweg,180,Tree bed,Exist,Not sampled,09/2021,no,No,No,No,Yes,1,NA,0,0,NA,NA,0,0,autumn,NA,NA,NA,Thaliana observed,,0,4
389,Maarweg,180,Tree bed,Exist,Not sampled,09/2021,no,No,No,No,Yes,1,NA,0,0,NA,NA,0,0,autumn,NA,NA,NA,,,0,2
390,Maarweg,180,Tree bed,Exist,Not sampled,09/2021,no,No,No,No,No,0,NA,0,0,NA,NA,0,0,autumn,NA,NA,NA,,,0,0
391,Maarweg,181,grass,02/2022,Not sampled,09/2021,no,No,No,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
392,Maarweg,181,grass,02/2022,Not sampled,09/2021,no,No,No,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
393,Maarweg,181,grass,02/2022,Not sampled,09/2021,no,No,No,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
394,Maarweg,182,grass,02/2022,Not sampled,09/2021,no,No,No,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
395,Maarweg,182,grass,02/2022,Not sampled,09/2021,no,No,No,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
396,Maarweg,182,grass,02/2022,Not sampled,09/2021,no,No,Yes,NA,NA,1,1,5,60,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
397,Maarweg,182,grass,02/2022,Not sampled,09/2021,no,No,No,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
398,Maarweg,183,grass,Exist,,09/2021,no,No,No,Yes,No,1,NA,0,0,0,0,4,4,spring,94,94,1,05/04/23,,0,0
399,Maarweg,183,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
400,Maarweg,183,grass,Exist,,09/2021,no,No,Yes,No,No,1,1,5,1,0,0,0,0,autumn,NA,NA,NA,,,0,0
401,Maarweg,183,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
402,Maarweg,183,grass,Exist,,09/2021,no,No,Yes,No,Yes,3,3,3,3,0,0,0,0,autumn,NA,NA,NA,,,0,1
403,Maarweg,183,grass,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,20,8,21,14,55,54,spring,74,94,21,05/04/23,Too late,0,26
404,Maarweg,183,grass,Exist,,09/2021,no,No,Yes,Yes,Yes,3,3,3,6,5,5,40,40,spring,74,94,21,05/04/23,Too late,0,1
405,Maarweg,184,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,No,2,2,2,1,1,3,3,3,spring,80,94,15,05/04/23,28/05/23,0,0
406,Maarweg,184,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,20,11,3,4,14,12,spring,74,119,46,05/04/23,28/05/23,0,175
407,Maarweg,184,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,50,30,6,17,25,25,spring,80,94,15,31/03,28/05,0,82
408,Maarweg,184,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,Yes,3,3,50,39,0,1,1,1,spring,82,82,1,31/03,,0,3
409,Maarweg,184,pavement,Exist,Not sampled,09/2021,no,No,Yes,Yes,No,2,2,15,11,0,1,4,4,spring,80,94,15,31/03,,0,0
410,Maarweg,185,grass,02/2022,Not sampled,09/2021,no,No,No,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
411,Maarweg,185,grass,Exist,,09/2021,no,No,No,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
412,Rhein,164,wall,Exist,Not sampled,07/2022,no,No,NA,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
413,Rhein,162,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,No,1,NA,0,0,2,5,13,6,spring,86,119,34,06/04/23,,0,0
414,Rhein,162,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,Yes,2,NA,0,0,20,28,45,41,spring,79,91,13,06/04/23,,0,1
417,Rhein,157,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,No,1,NA,0,0,21,25,6,6,autumn,88,95,8,06/04/23,,0,0
418,Rhein,157,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,No,1,NA,0,0,5,10,22,18,spring,81,119,39,06/04/23,,0,0
419,Rhein,156,wall,Exist,Not sampled,07/2022,no,No,NA,No,No,0,NA,0,0,4,1,0,0,autumn,NA,NA,NA,,,0,0
420,Rhein,155,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,No,1,NA,0,0,2,1,3,1,spring,95,119,25,06/04/23,,0,0
421,Rhein,154,wall,Exist,Not sampled,07/2022,no,No,NA,No,No,0,NA,0,0,0,0,0,0,autumn,NA,NA,NA,,,0,0
422,Rhein,153,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,No,1,NA,0,0,110,96,185,170,spring,59,119,61,06/04/23,25/05/23,0,0
423,Rhein,152,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,Yes,2,NA,0,0,90,51,220,210,spring,76,119,44,06/04/23,25/05/23,0,4
424,Rhein,150,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,No,1,NA,0,0,275,82,423,370,spring,59,119,61,06/04/23,25/05/23,0,0
425,Rhein,151,wall,Exist,Not sampled,07/2022,no,No,NA,No,No,0,NA,0,0,65,217,0,0,autumn,NA,NA,NA,,,0,0
426,Rhein,149,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,No,1,NA,0,0,40,41,80,75,spring,76,119,44,06/04/23,25/05/23,0,0
427,Rhein,149,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,No,1,NA,0,0,2,0,6,6,spring,83,95,13,06/04/23,,0,0
428,Rhein,147,wall,Exist,Not sampled,09/2021,no,Yes,No,Yes,Yes,2,NA,0,0,11,13,16,13,spring,79,119,41,06/04/23,25/05/23,0,13
429,Rhein,147,wall,Exist,Not sampled,09/2021,no,Yes,No,Yes,Yes,2,NA,0,0,3,4,4,4,spring,76,95,20,06/04/23,,0,3
431,Rhein,147,wall,Exist,Not sampled,09/2021,no,No,No,Yes,No,1,NA,0,0,2,6,14,14,spring,76,91,16,06/04/23,25/05/23,0,0
433,Zollstock,189,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,Yes,2,NA,0,0,35,8,20,16,autumn,81,119,39,03/04/23,26/05/23,0,119
434,Zollstock,189,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,Yes,2,NA,0,0,6,7,15,3,,86,119,34,03/04/23,26/05/23,0,277
435,Zollstock,189,wall,Exist,Not sampled,07/2022,no,No,NA,No,No,0,NA,0,0,0,1,0,0,,NA,NA,NA,03/04/23,,0,0
436,Zollstock,189,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,No,1,NA,0,0,2,2,2,0,,119,119,1,03/04/23,,0,0
437,Zollstock,189,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,Yes,2,NA,0,0,12,4,12,10,,81,119,39,03/04/23,,0,1
438,Zollstock,189,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,Yes,2,NA,0,0,11,19,23,20,,81,119,39,03/04/23,26/05/23,0,20
439,Zollstock,189,wall,Exist,Not sampled,07/2022,no,No,NA,Yes,Yes,2,NA,0,0,5,26,7,4,,119,119,1,03/04/23,,0,5
